,time,arrival_rq
0,1970-01-01 12:00:00,3221
1,1970-01-01 12:02:00,353
2,1970-01-01 12:04:00,2967
3,1970-01-01 12:06:00,1444
4,1970-01-01 12:08:00,934
5,1970-01-01 12:10:00,401
6,1970-01-01 12:12:00,422
7,1970-01-01 12:14:00,367
8,1970-01-01 12:16:00,3381
9,1970-01-01 12:18:00,313
10,1970-01-01 12:20:00,676
11,1970-01-01 12:22:00,879
12,1970-01-01 12:24:00,1669
13,1970-01-01 12:26:00,2311
14,1970-01-01 12:28:00,2441
15,1970-01-01 12:30:00,583
16,1970-01-01 12:32:00,3227
17,1970-01-01 12:34:00,248
18,1970-01-01 12:36:00,800
19,1970-01-01 12:38:00,417
20,1970-01-01 12:40:00,259
21,1970-01-01 12:42:00,300
22,1970-01-01 12:44:00,183
23,1970-01-01 12:46:00,213
24,1970-01-01 12:48:00,1541
25,1970-01-01 12:50:00,1208
26,1970-01-01 12:52:00,1235
27,1970-01-01 12:54:00,465
28,1970-01-01 12:56:00,197
29,1970-01-01 12:58:00,151
30,1970-01-01 13:00:00,400
31,1970-01-01 13:02:00,1171
32,1970-01-01 13:04:00,246
33,1970-01-01 13:06:00,1350
34,1970-01-01 13:08:00,858
35,1970-01-01 13:10:00,552
36,1970-01-01 13:12:00,444
37,1970-01-01 13:14:00,1484
38,1970-01-01 13:16:00,470
39,1970-01-01 13:18:00,715
40,1970-01-01 13:20:00,1592
41,1970-01-01 13:22:00,1304
42,1970-01-01 13:24:00,3172
43,1970-01-01 13:26:00,431
44,1970-01-01 13:28:00,871
45,1970-01-01 13:30:00,412
46,1970-01-01 13:32:00,822
47,1970-01-01 13:34:00,426
48,1970-01-01 13:36:00,825
49,1970-01-01 13:38:00,304
50,1970-01-01 13:40:00,306
51,1970-01-01 13:42:00,1737
52,1970-01-01 13:44:00,1446
53,1970-01-01 13:46:00,1227
54,1970-01-01 13:48:00,482
55,1970-01-01 13:50:00,243
56,1970-01-01 13:52:00,514
57,1970-01-01 13:54:00,315
58,1970-01-01 13:56:00,1590
59,1970-01-01 13:58:00,468
60,1970-01-01 14:00:00,629
61,1970-01-01 14:02:00,2092
62,1970-01-01 14:04:00,1055
63,1970-01-01 14:06:00,2112
64,1970-01-01 14:08:00,605
65,1970-01-01 14:10:00,2287
66,1970-01-01 14:12:00,1226
67,1970-01-01 14:14:00,1478
68,1970-01-01 14:16:00,1390
69,1970-01-01 14:18:00,531
70,1970-01-01 14:20:00,2224
71,1970-01-01 14:22:00,635
72,1970-01-01 14:24:00,832
73,1970-01-01 14:26:00,719
74,1970-01-01 14:28:00,2642
75,1970-01-01 14:30:00,1622
76,1970-01-01 14:32:00,426
77,1970-01-01 14:34:00,1642
78,1970-01-01 14:36:00,479
79,1970-01-01 14:38:00,461
80,1970-01-01 14:40:00,204
81,1970-01-01 14:42:00,1872
82,1970-01-01 14:44:00,592
83,1970-01-01 14:46:00,401
84,1970-01-01 14:48:00,363
85,1970-01-01 14:50:00,261
86,1970-01-01 14:52:00,471
87,1970-01-01 14:54:00,525
88,1970-01-01 14:56:00,419
89,1970-01-01 14:58:00,878
90,1970-01-01 15:00:00,534
91,1970-01-01 15:02:00,168
92,1970-01-01 15:04:00,495
93,1970-01-01 15:06:00,259
94,1970-01-01 15:08:00,1273
95,1970-01-01 15:10:00,2203
96,1970-01-01 15:12:00,280
97,1970-01-01 15:14:00,236
98,1970-01-01 15:16:00,1514
99,1970-01-01 15:18:00,1121
100,1970-01-01 15:20:00,776
101,1970-01-01 15:22:00,467
102,1970-01-01 15:24:00,183
103,1970-01-01 15:26:00,1858
104,1970-01-01 15:28:00,2269
105,1970-01-01 15:30:00,200
106,1970-01-01 15:32:00,4411
107,1970-01-01 15:34:00,1379
108,1970-01-01 15:36:00,408
109,1970-01-01 15:38:00,1653
110,1970-01-01 15:40:00,290
111,1970-01-01 15:42:00,436
112,1970-01-01 15:44:00,1859
113,1970-01-01 15:46:00,244
114,1970-01-01 15:48:00,1510
115,1970-01-01 15:50:00,636
116,1970-01-01 15:52:00,670
117,1970-01-01 15:54:00,543
118,1970-01-01 15:56:00,6853
119,1970-01-01 15:58:00,3731
